direction,calm,2.0-4.9,5.0-6.9,7.0-9.9,10.0-14.9,15.0-19.9,20.0+,angle,angle_deg
355-004,13.68,0.371,0.642,0.409,0.557,0.202,0.064,6.274458660919615,359.5
005-014,0.0,0.0,0.334,0.456,0.377,0.292,0.08,0.16580627893946132,9.5
015-024,0.0,0.0,0.228,0.398,0.223,0.366,0.048,0.34033920413889424,19.5
025-034,0.0,0.0,0.218,0.35,0.223,0.239,0.048,0.5148721293383273,29.5
035-044,0.0,0.0,0.18,0.287,0.212,0.233,0.069,0.6894050545377601,39.5
045-054,0.0,0.0,0.101,0.196,0.154,0.202,0.042,0.8639379797371931,49.5
055-064,0.0,0.0,0.17,0.255,0.149,0.255,0.048,1.038470904936626,59.5
065-074,0.0,0.0,0.249,0.271,0.271,0.292,0.106,1.213003830136059,69.5
075-084,0.0,0.0,0.244,0.244,0.233,0.478,0.122,1.387536755335492,79.5
085-094,0.0,0.0,0.191,0.557,0.302,0.451,0.064,1.562069680534925,89.5
095-104,0.0,0.0,0.249,0.366,0.265,0.483,0.037,1.736602605734358,99.5
105-114,0.0,0.0,0.281,0.409,0.281,0.451,0.069,1.911135530933791,109.5
115-124,0.0,0.0,0.292,0.419,0.34,0.589,0.101,2.0856684561332237,119.5
125-134,0.0,0.0,0.287,0.409,0.366,0.456,0.048,2.260201381332657,129.5
135-144,0.0,0.0,0.387,0.467,0.44,0.451,0.042,2.4347343065320897,139.5
145-154,0.0,0.0,0.44,0.536,0.393,0.552,0.08,2.609267231731523,149.5
155-164,0.0,0.0,0.244,0.462,0.281,0.345,0.111,2.7838001569309556,159.5
165-174,0.0,0.0,0.26,0.398,0.361,0.451,0.143,2.9583330821303884,169.5
175-184,0.0,0.0,0.409,0.61,0.43,0.764,0.18,3.1328660073298216,179.5
185-194,0.0,0.0,0.377,0.504,0.334,0.658,0.122,3.3073989325292543,189.5
195-204,0.0,0.0,0.287,0.589,0.371,0.621,0.106,3.4819318577286875,199.5
205-214,0.0,0.0,0.393,0.578,0.435,0.525,0.117,3.6564647829281203,209.5
215-224,0.0,0.0,0.393,0.562,0.419,0.552,0.058,3.8309977081275535,219.5
225-234,0.0,0.0,0.345,0.483,0.345,0.488,0.069,4.005530633326987,229.5
235-244,0.0,0.0,0.472,0.669,0.414,0.653,0.133,4.180063558526419,239.5
245-254,0.0,0.0,0.52,0.764,0.621,0.801,0.191,4.354596483725852,249.5
255-264,0.0,0.0,0.446,0.929,0.86,1.014,0.212,4.529129408925285,259.5
265-274,0.0,0.0,0.748,1.624,1.385,1.831,0.419,4.703662334124719,269.5
275-284,0.0,0.0,0.387,0.971,1.008,2.128,0.594,4.878195259324151,279.5
285-294,0.0,0.0,0.265,0.78,0.934,1.741,0.462,5.052728184523584,289.5
295-304,0.0,0.0,0.584,1.433,1.311,2.414,0.541,5.227261109723017,299.5
305-314,0.0,0.0,0.589,1.327,1.162,1.709,0.387,5.40179403492245,309.5
315-324,0.0,0.0,0.483,1.109,0.833,1.098,0.202,5.576326960121883,319.5
325-334,0.0,0.0,0.377,0.738,0.732,0.838,0.17,5.750859885321316,329.5
335-344,0.0,0.0,0.361,0.801,0.547,0.674,0.297,5.925392810520749,339.5
345-354,0.0,0.0,0.276,0.478,0.462,0.653,0.186,6.0999257357201815,349.5
