MUNICIPI,PSC-CP,ERC-AM,JUNTS,Cs,PP,Others,total_votes
Abella de la Conca,0,64,0,0,0,58,122
Abrera,3006,810,0,426,192,1378,5812
Agramunt,0,0,0,0,0,2326,2326
Aguilar de Segarra,0,0,123,0,0,60,183
Agullana,0,129,230,0,0,96,455
Aiguafreda,0,458,675,0,94,149,1376
Aiguamúrcia,0,0,0,0,10,517,527
Aiguaviva,14,140,0,0,0,314,468
Aitona,0,0,0,0,106,1118,1224
Alamús,0,0,0,0,0,449,449
Albagés,0,0,0,0,0,265,265
Albanyà,0,0,67,0,0,11,78
Albatàrrec,0,241,0,115,0,608,964
Albesa,0,0,0,0,0,847,847
Albi,0,0,0,0,0,520,520
Albinyana,376,128,712,117,13,0,1346
Albiol,0,0,0,0,0,276,276
Albons,0,0,0,0,0,345,345
Alcanar,355,2451,484,0,232,907,4429
Alcanó,0,0,0,0,0,130,130
Alcarràs,297,1173,0,155,95,1710,3430
Alcoletge,388,146,0,134,36,835,1539
Alcover,0,175,245,0,66,2046,2532
Aldea,0,0,1048,0,0,1024,2072
Aldover,223,0,0,0,0,316,539
Aleixar,0,64,262,0,0,177,503
Alella,0,0,0,441,144,4186,4771
Alfara de Carles,0,0,0,0,0,177,177
Alfarràs,448,234,0,0,50,842,1574
Alforja,99,348,533,0,0,0,980
Alfés,0,0,0,0,0,155,155
Algerri,0,0,0,0,0,207,207
Alguaire,0,557,0,0,0,852,1409
Alins,0,44,0,0,0,159,203
Alió,0,0,209,0,0,0,209
Almacelles,0,417,0,70,141,2319,2947
Almatret,0,48,0,0,0,142,190
Almenar,0,757,0,0,37,999,1793
Almoster,0,498,200,0,0,0,698
Alp,0,0,0,0,0,778,778
Alpens,0,0,0,0,0,186,186
Alpicat,232,668,0,185,122,1891,3098
Alt Àneu,0,0,0,0,0,294,294
Altafulla,212,0,0,144,90,2254,2700
Alàs i Cerc,0,0,0,0,0,192,192
Alòs de Balaguer,0,0,59,0,0,27,86
Amer,0,349,0,0,0,839,1188
Ametlla de Mar,0,1418,912,238,0,596,3164
Ametlla del Vallès,377,0,1079,0,190,2582,4228
Ampolla,0,398,956,203,0,0,1557
Amposta,860,0,0,410,0,8456,9726
Anglesola,0,0,0,0,0,789,789
Anglès,63,143,0,0,0,2274,2480
Arbeca,0,0,0,0,0,1261,1261
Arbolí,0,64,35,0,0,0,99
Arboç,1297,0,0,133,0,1033,2463
Arbúcies,0,591,0,0,0,2368,2959
Arenys de Mar,801,2023,0,312,360,4118,7614
Arenys de Munt,740,1818,1165,0,0,742,4465
Argelaguer,0,0,0,0,0,186,186
Argentera,0,0,0,0,0,75,75
Argentona,847,0,0,0,628,4926,6401
Argençola,0,105,0,0,0,26,131
Armentera,0,0,0,0,0,329,329
Arnes,0,120,169,0,0,62,351
Arres,0,0,0,0,0,51,51
Arsèguel,0,26,0,0,0,28,54
Artesa de Lleida,0,403,0,0,0,472,875
Artesa de Segre,0,747,401,0,0,451,1599
Artés,0,1156,0,434,0,1258,2848
Ascó,0,279,69,0,0,755,1103
Aspa,0,0,0,0,1,138,139
Avellanes i Santa Linya,0,0,143,0,0,155,298
Avinyonet de Puigventós,0,0,539,0,0,168,707
Avinyonet del Penedès,0,0,0,0,0,951,951
Avinyó,0,887,247,0,0,0,1134
Avià,0,0,0,0,0,1301,1301
Badalona,19913,0,0,1772,37539,40105,99329
Badia del Vallès,2949,476,135,563,250,1289,5662
Bagà,0,0,0,0,0,1281,1281
Baix Pallars,0,0,0,0,0,214,214
Balaguer,1079,0,1247,252,269,4181,7028
Balenyà,0,383,0,0,0,1399,1782
Balsareny,0,738,833,0,0,0,1571
Banyeres del Penedès,385,0,305,0,72,780,1542
Banyoles,0,0,0,0,0,9069,9069
Barbens,0,0,214,0,0,223,437
Barberà de la Conca,0,0,0,0,0,172,172
Barberà del Vallès,3941,2421,0,1424,728,6790,15304
Barcelona,138885,0,79280,0,37786,495857,751808
Baronia de Rialb,0,38,139,0,0,8,185
Bassella,0,0,0,0,0,163,163
Batea,0,0,339,0,0,737,1076
Bausen,0,0,0,0,0,48,48
Begues,352,648,0,331,68,2276,3675
Begur,214,0,0,51,0,1759,2024
Belianes,0,0,0,0,0,244,244
Bell-lloc d'Urgell,0,0,646,0,62,556,1264
Bellaguarda,0,0,0,0,0,226,226
Bellcaire d'Empordà,0,0,0,0,0,401,401
Bellcaire d'Urgell,0,0,188,0,0,595,783
Bellmunt d'Urgell,0,0,81,0,0,45,126
Bellmunt del Priorat,0,0,138,0,0,0,138
Bellprat,0,0,0,0,0,43,43
Bellpuig,0,0,0,0,0,2168,2168
Bellvei,275,0,302,132,0,334,1043
Bellver de Cerdanya,0,194,0,0,0,839,1033
Bellvís,0,0,331,0,0,847,1178
Benavent de Segrià,0,225,0,0,47,526,798
Benifallet,0,168,0,0,0,360,528
Benissanet,0,0,0,0,0,436,436
Berga,745,948,0,90,252,6082,8117
Besalú,0,0,0,0,0,1285,1285
Bescanó,0,1116,0,0,0,1582,2698
Beuda,0,57,0,0,0,150,207
Bigues i Riells del Fai,0,0,229,355,100,3646,4330
Biosca,0,0,96,0,0,4,100
Bisbal d'Empordà,0,1513,0,0,0,2929,4442
Bisbal de Montsant,3,0,103,0,0,25,131
Bisbal del Penedès,281,179,0,0,0,1243,1703
Biure,0,0,6,0,0,123,129
Blancafort,0,215,0,0,0,0,215
Blanes,3249,3268,0,2017,561,6903,15998
Boadella i les Escaules,0,107,63,0,0,7,177
Bolvir,0,0,0,0,0,258,258
Bonastre,0,107,0,0,0,231,338
Bordils,0,87,0,0,0,736,823
Borges Blanques,0,0,0,85,53,2829,2967
Borges del Camp,123,442,553,0,0,0,1118
Borrassà,0,0,307,0,0,0,307
Borredà,0,0,0,0,0,315,315
Bossòst,0,0,0,0,0,611,611
Bot,0,0,142,0,0,237,379
Botarell,145,383,0,0,0,36,564
Bovera,0,0,0,0,0,172,172
Breda,213,1376,0,0,0,492,2081
Bruc,0,0,300,0,0,709,1009
Brull,0,0,0,0,0,111,111
Brunyola i Sant Martí Sapresa,0,0,0,0,0,255,255
Bràfim,0,0,0,0,0,412,412
Bàscara,0,345,193,0,0,0,538
Bòrdes,0,0,0,0,0,151,151
Cabacés,0,0,0,0,0,167,167
Cabanabona,0,0,30,0,0,17,47
Cabanelles,0,0,0,0,0,82,82
Cabanes,0,0,297,0,0,219,516
Cabanyes,0,0,339,0,0,190,529
Cabra del Camp,0,0,257,0,0,326,583
Cabrera d'Anoia,269,0,41,98,0,289,697
Cabrera de Mar,233,482,0,163,0,1731,2609
Cabrils,339,1237,743,392,0,816,3527
Cabó,0,25,0,0,7,63,95
Cadaqués,0,141,374,0,0,731,1246
Calaf,0,0,0,0,0,1681,1681
Calafell,3659,1449,0,968,670,3450,10196
Calders,0,0,0,0,0,593,593
Caldes d'Estrac,295,565,273,79,0,134,1346
Caldes de Malavella,436,664,0,252,0,2098,3450
Caldes de Montbui,1378,4113,888,0,543,1364,8286
Calella,1068,1860,0,510,334,4357,8129
Calldetenes,0,0,0,0,0,1360,1360
Callús,0,696,305,0,0,0,1001
Calonge de Segarra,0,0,95,0,0,43,138
Calonge i Sant Antoni,697,1145,0,0,268,2361,4471
Camarasa,0,0,221,0,0,323,544
Camarles,0,732,548,0,0,422,1702
Cambrils,1883,2841,1660,1918,854,4219,13375
Campdevànol,92,591,0,0,0,1048,1731
Campelles,0,60,0,0,0,35,95
Campins,0,145,91,0,0,65,301
Campllong,0,129,0,0,0,176,305
Camprodon,0,0,0,0,0,1255,1255
Camós,0,0,0,0,0,447,447
Canejan,0,0,0,0,0,78,78
Canet d'Adri,0,0,0,0,0,441,441
Canet de Mar,867,1556,462,282,326,3476,6969
Canonja,1734,189,199,229,121,285,2757
Canovelles,3403,754,0,448,240,1206,6051
Cantallops,12,135,0,0,0,0,147
Canyelles,0,146,1576,143,29,300,2194
Capafonts,0,0,0,0,0,93,93
Capellades,414,902,0,297,0,1169,2782
Capmany,12,0,231,0,0,0,243
Capolat,0,0,0,0,0,59,59
Capçanes,0,0,0,0,0,184,184
Cardedeu,1542,3176,887,528,242,2671,9046
Cardona,614,1442,504,146,0,0,2706
Carme,0,0,0,0,0,351,351
Caseres,0,0,0,0,0,136,136
Casserres,0,0,0,0,0,746,746
Cassà de la Selva,478,2139,0,0,0,2136,4753
"Castell d'Aro, Platja d'Aro i s'Agaró",935,698,0,248,142,1877,3900
Castell de Mur,0,54,0,0,0,111,165
Castell de l'Areny,0,0,45,0,0,0,45
Castellar de la Ribera,0,0,44,0,0,44,88
Castellar de n'Hug,0,37,0,0,0,66,103
Castellar del Riu,0,54,0,0,0,57,111
Castellar del Vallès,0,2771,1307,731,265,7243,12317
Castellbell i el Vilar,943,499,354,0,27,0,1823
Castellbisbal,1737,701,0,587,0,2992,6017
Castellcir,0,0,0,0,0,312,312
Castelldans,0,0,0,0,62,458,520
Castelldefels,5430,4290,1525,1777,7904,5847,26773
Castellet i la Gornal,456,298,239,132,0,0,1125
Castellfollit de Riubregós,0,0,74,0,0,38,112
Castellfollit de la Roca,0,403,0,0,0,103,506
Castellfollit del Boix,0,0,0,0,0,261,261
Castellgalí,547,366,99,63,0,0,1075
Castellnou de Bages,0,373,117,0,0,257,747
