MUNICIPI,PSC-CP,ERC-AM,JUNTS,Cs,PP,Others,total_votes,latitude,longitude
Abella de la Conca,0,64,0,0,0,58,122,42.1614592,1.0923357
Abrera,3006,810,0,426,192,1378,5812,41.5204464,1.9024126
Agramunt,0,0,0,0,0,2326,2326,41.787076,1.0985119
Aguilar de Segarra,0,0,123,0,0,60,183,41.7394902,1.6316676
Agullana,0,129,230,0,0,96,455,42.3938409,2.8469168
Aiguafreda,0,458,675,0,94,149,1376,41.7692525,2.2517162
Aiguamúrcia,0,0,0,0,10,517,527,41.329339,1.3585409
Aiguaviva,14,140,0,0,0,314,468,41.9382389,2.7624155
Aitona,0,0,0,0,106,1118,1224,41.4939531,0.4591083
Alamús,0,0,0,0,0,449,449,41.6151049,0.7387323
Albagés,0,0,0,0,0,265,265,41.448483,0.7389506
Albanyà,0,0,67,0,0,11,78,42.3046915,2.7193001
Albatàrrec,0,241,0,115,0,608,964,41.5733194,0.6059163
Albesa,0,0,0,0,0,847,847,41.7513409,0.6591801
Albi,0,0,0,0,0,520,520,41.4234389,0.9384768
Albinyana,376,128,712,117,13,0,1346,41.2454739,1.486748
Albiol,0,0,0,0,0,276,276,41.2518657,1.0897995
Albons,0,0,0,0,0,345,345,42.1058271,3.0849746
Alcanar,355,2451,484,0,232,907,4429,40.5438634,0.4808409
Alcanó,0,0,0,0,0,130,130,41.4811336,0.6167568
Alcarràs,297,1173,0,155,95,1710,3430,41.5632578,0.5240396
Alcoletge,388,146,0,134,36,835,1539,41.6472222,0.6944444
Alcover,0,175,245,0,66,2046,2532,41.2629186,1.1702772
Aldea,0,0,1048,0,0,1024,2072,40.7445104,0.6188148
Aldover,223,0,0,0,0,316,539,40.8800537,0.5000194
Aleixar,0,64,262,0,0,177,503,41.2010494,1.0451659
Alella,0,0,0,441,144,4186,4771,41.4952867,2.2942758
Alfara de Carles,0,0,0,0,0,177,177,40.8738809,0.400045
Alfarràs,448,234,0,0,50,842,1574,41.8319289,0.5703358
Alforja,99,348,533,0,0,0,980,41.2099763,0.9750606
Alfés,0,0,0,0,0,155,155,41.5214162,0.6200114
Algerri,0,0,0,0,0,207,207,41.81505,0.6384169
Alguaire,0,557,0,0,0,852,1409,41.7361463,0.585933
Alins,0,44,0,0,0,159,203,42.549124,1.3180552
Alió,0,0,209,0,0,0,209,41.2935881,1.3062666
Almacelles,0,417,0,70,141,2319,2947,41.7294989,0.4404763
Almatret,0,48,0,0,0,142,190,41.3053912,0.423659
Almenar,0,757,0,0,37,999,1793,41.7961026,0.5688317
Almoster,0,498,200,0,0,0,698,41.1960574,1.1111352
Alp,0,0,0,0,0,778,778,42.3736381,1.8871916
Alpens,0,0,0,0,0,186,186,42.1195348,2.101673
Alpicat,232,668,0,185,122,1891,3098,41.6651189,0.5560656
Alt Àneu,0,0,0,0,0,294,294,42.6903552,1.0624833
Altafulla,212,0,0,144,90,2254,2700,41.1423467,1.3768704
Alàs i Cerc,0,0,0,0,0,192,192,42.3219118,1.5170869
Alòs de Balaguer,0,0,59,0,0,27,86,41.9124041,0.9607021
Amer,0,349,0,0,0,839,1188,42.0092186,2.6030327
Ametlla de Mar,0,1418,912,238,0,596,3164,40.9045442,0.8123024
Ametlla del Vallès,377,0,1079,0,190,2582,4228,41.669334,2.2614527
Ampolla,0,398,956,203,0,0,1557,40.8122038,0.706957
Amposta,860,0,0,410,0,8456,9726,40.7079905,0.5827636
Anglesola,0,0,0,0,0,789,789,41.6581289,1.0834165
Anglès,63,143,0,0,0,2274,2480,41.9559224,2.6359493
Arbeca,0,0,0,0,0,1261,1261,41.5413249,0.9242319
Arbolí,0,64,35,0,0,0,99,41.2425941,0.9487676
Arboç,1297,0,0,133,0,1033,2463,41.3700889,2.1307976
Arbúcies,0,591,0,0,0,2368,2959,41.8160629,2.5141453
Arenys de Mar,801,2023,0,312,360,4118,7614,41.5797031,2.5491562
