Year,Week,Issue_date,Streaming_Artist,Streaming_Song,Airplay_Artist,Airplay_Song,Streaming_Song_Clean,Airplay_Song_Clean,Streaming_Artist_Clean,Airplay_Artist_Clean
2000,,1 January,Rhythm Divine,Enrique Iglesias,,,Enrique Iglesias,,Rhythm Divine,
2000,,29 January,Rhythm Divine,Enrique Iglesias,,,Enrique Iglesias,,Rhythm Divine,
2000,,5 February,Rhythm Divine,Enrique Iglesias,,,Enrique Iglesias,,Rhythm Divine,
2000,,12 February,Rhythm Divine,Enrique Iglesias,,,Enrique Iglesias,,Rhythm Divine,
2000,,19 February,Cartoon Heroes,Aqua,,,Aqua,,Cartoon Heroes,
2000,,26 February,Go Let It Out,Oasis,,,Oasis,,Go Let It Out,
2000,,4 March,The Bad Touch,Bloodhound Gang,,,Bloodhound Gang,,The Bad Touch,
2000,,18 March,American Pie,Madonna,,,Madonna,,American Pie,
2000,,1 April,Sobreviviré,Mónica Naranjo,,,Mónica Naranjo,,Sobreviviré,
2000,,22 April,Sobreviviré,Mónica Naranjo,,,Mónica Naranjo,,Sobreviviré,
2000,,29 April,Sobreviviré,Mónica Naranjo,,,Mónica Naranjo,,Sobreviviré,
2000,,6 May,No Me Dejes de Querer,Gloria Estefan,,,Gloria Estefan,,No Me Dejes de Querer,
2000,,20 May,No Me Dejes de Querer,Gloria Estefan,,,Gloria Estefan,,No Me Dejes de Querer,
2000,,27 May,Oops!... I Did It Again,Britney Spears,,,Britney Spears,,Oops!... I Did It Again,
2000,,3 June,Sex Machine (Get Up I Feel Like Being Like A Sex Machine),Tony Sweat,,,Tony Sweat,,Sex Machine (Get Up I Feel Like Being Like A Sex Machine),
2000,,8 July,Sex Machine (Get Up I Feel Like Being Like A Sex Machine),Tony Sweat,,,Tony Sweat,,Sex Machine (Get Up I Feel Like Being Like A Sex Machine),
2000,,15 July,Sex Machine (Get Up I Feel Like Being Like A Sex Machine),Tony Sweat,,,Tony Sweat,,Sex Machine (Get Up I Feel Like Being Like A Sex Machine),
2000,,22 July,If You Leave Me Now,Mónica Naranjo,,,Mónica Naranjo,,If You Leave Me Now,
2000,,5 August,Boom Boom,Chayanne,,,Chayanne,,Boom Boom,
2000,,26 August,Ya no quiero tu querer,José el Francés,,,José el Francés,,Ya no quiero tu querer,
2000,,9 September,Music,Madonna,,,Madonna,,Music,
2000,,14 October,Lady (Hear Me Tonight),Modjo,,,Modjo,,Lady (Hear Me Tonight),
2000,,28 October,Beautiful Day,U2,,,U2,,Beautiful Day,
2000,,25 November,No cambié,Tamara,,,Tamara,,No cambié,
2001,,1 January,No cambié,Tamara,,,Tamara,,No cambié,
2001,,8 January,Love Don't Cost a Thing,Jennifer Lopez,,,Jennifer Lopez,,Love Dont Cost a Thing,
2001,,29 January,La otra orilla (Un pueblo),Reincidentes,,,Reincidentes,,La otra orilla (Un pueblo),
2001,,26 February,Carnavalito,King África,,,King África,,Carnavalito,
2001,,2 April,Club Tropicana,Gypsy Teens,,,Gypsy Teens,,Club Tropicana,
2001,,16 April,Club Tropicana,Gypsy Teens,,,Gypsy Teens,,Club Tropicana,
2001,,23 April,Dream On,Depeche Mode,,,Depeche Mode,,Dream On,
2001,,14 May,Me gustas tú,Manu Chao,,,Manu Chao,,Me gustas tú,
2001,,11 June,Prohibida,Raúl,,,Raúl,,Prohibida,
2001,,16 July,Prohibida,Raúl,,,Raúl,,Prohibida,
2001,,23 July,Lady Marmalade,"Christina Aguilera,Lil' Kim,MýaandPinkfeaturingMissy Elliott",,,"Christina Aguilera,Lil Kim,MýaandPinkfeaturingMissy Elliott",,Lady Marmalade,
2001,,6 August,Lady Marmalade,"Christina Aguilera,Lil' Kim,MýaandPinkfeaturingMissy Elliott",,,"Christina Aguilera,Lil Kim,MýaandPinkfeaturingMissy Elliott",,Lady Marmalade,
2001,,13 August,Little L,Jamiroquai,,,Jamiroquai,,Little L,
2001,,10 September,It Began in Afrika,The Chemical Brothers,,,The Chemical Brothers,,It Began in Afrika,
2001,,24 September,Can't Get You Out of My Head,Kylie Minogue,,,Kylie Minogue,,Cant Get You Out of My Head,
2001,,8 October,Can't Get You Out of My Head,Kylie Minogue,,,Kylie Minogue,,Cant Get You Out of My Head,
2001,,15 October,Hero,Enrique Iglesias,,,Enrique Iglesias,,Hero,
2001,,22 October,Partiendo la pana,Estopa,,,Estopa,,Partiendo la pana,
2001,,29 October,Suerte,Shakira,,,Shakira,,Suerte,
2001,,5 November,Gracias Por La Música,Academia Operacion Triunfo Gala 1,,,Academia Operacion Triunfo Gala 1,,Gracias Por La Música,
2001,,12 November,Lady Marmalade,Academia Operacion Triunfo Gala 2,,,Academia Operacion Triunfo Gala 2,,Lady Marmalade,
2001,,19 November,Can't Get You Out of My Head,Kylie Minogue,,,Kylie Minogue,,Cant Get You Out of My Head,
2001,,10 December,And Then There Was Silence,Blind Guardian,,,Blind Guardian,,And Then There Was Silence,
2001,,24 December,And Then There Was Silence,Blind Guardian,,,Blind Guardian,,And Then There Was Silence,
2001,,31 December,Abre tu sonrisa,Sugarless,,,Sugarless,,Abre tu sonrisa,
2002,,7 January,Abre Tu Sonrisa,Sugarless,,,Sugarless,,Abre Tu Sonrisa,
2002,,14 January,Star Guitar,The Chemical Brothers,,,The Chemical Brothers,,Star Guitar,
2002,,28 January,Get the Party Started,Pink,,,Pink,,Get the Party Started,
2002,,11 February,Baila (Sexy Thing),ZuccheroandManá,,,ZuccheroandManá,,Baila (Sexy Thing),
2002,,18 February,Duck Toy,Hampenberg,,,Hampenberg,,Duck Toy,
2002,,25 February,Moi Lolita,Alizée,,,Alizée,,Moi Lolita,
2002,,18 March,Freeek!,George Michael,,,George Michael,,Freeek!,
2002,,8 April,Torero,Chayanne,,,Chayanne,,Torero,
2002,,13 May,Aserejé,Las Ketchup,,,Las Ketchup,,Aserejé,
2002,,10 June,Don't Say Goodbye,Paulina Rubio,,,Paulina Rubio,,Dont Say Goodbye,
2002,,17 June,Viva el Amor,Loona,,,Loona,,Viva el Amor,
2002,,24 June,Aserejé,Las Ketchup,,,Las Ketchup,,Aserejé,
2002,,1 July,Cruel to Be Kind,Naim Thomas,,,Naim Thomas,,Cruel to Be Kind,
2002,,8 July,Aserejé,Las Ketchup,,,Las Ketchup,,Aserejé,
2002,,22 July,Nadie Como Tú (Remixes),Shalim,,,Shalim,,Nadie Como Tú (Remixes),
2002,,29 July,Aserejé,Las Ketchup,,,Las Ketchup,,Aserejé,
2002,,5 August,Ave María (Remixes),David Bisbal,,,David Bisbal,,Ave María (Remixes),
2002,,12 August,Aserejé,Las Ketchup,,,Las Ketchup,,Aserejé,
2002,,2 September,Chihuahua,DJ Bobo,,,DJ Bobo,,Chihuahua,
2002,,9 September,Everyday,Bon Jovi,,,Bon Jovi,,Everyday,
2002,,23 September,All The Things She Said,t.A.T.u.,,,t.A.T.u.,,All The Things She Said,
2002,,21 October,Electrical Storm,U2,,,U2,,Electrical Storm,
2002,,28 October,Die Another Day,Madonna,,,Madonna,,Die Another Day,
2002,,25 November,Through The Rain,Mariah Carey,,,Mariah Carey,,Through The Rain,
2002,,2 December,No Quiero Sufrir,Cristie,,,Cristie,,No Quiero Sufrir,
2002,,16 December,Tú No Me Verás Llorar,Marey,,,Marey,,Tú No Me Verás Llorar,
2002,,30 December,Bésame,Danni Úbeda,,,Danni Úbeda,,Bésame,
2004,,January 4,"""Motivos de un sentimiento""",Joaquín Sabina,,,Joaquín Sabina,,Motivos de un sentimiento,
2004,,January 11,"""Uno más uno son siete""",Fran Perea,,,Fran Perea,,Uno más uno son siete,
2004,,January 18,"""The Unnamed Feeling""",Metallica,,,Metallica,,The Unnamed Feeling,
2004,,February 8,"""Bulería""",David Bisbal,,,David Bisbal,,Bulería,
2004,,February 15,"""Fuente de energía""",Estopa,,,Estopa,,Fuente de energía,
2004,,March 14,"""Amazing""",George Michael,,,George Michael,,Amazing,
2004,,March 21,"""Love Profusion""",Madonna,,,Madonna,,Love Profusion,
2004,,March 28,"""Left Outside Alone""",Anastacia,,,Anastacia,,Left Outside Alone,
2004,,April 4,"""Dragostea din tei""",O-Zone,,,O-Zone,,Dragostea din tei,
2004,,April 11,"""Retorciendo palabras""",Fangoria,,,Fangoria,,Retorciendo palabras,
2004,,May 2,"""Para llenarme de ti""",Ramón,,,Ramón,,Para llenarme de ti,
2004,,May 9,"""Dragostea din tei""",O-Zone,,,O-Zone,,Dragostea din tei,
