Year,Week,Issue_date,Streaming_Artist,Streaming_Song,Airplay_Artist,Airplay_Song,Streaming_Song_Clean,Airplay_Song_Clean
2008,,6 January,Dogma Crew,"""Nacen de la bruma""",,,Nacen de la bruma,
2008,,10 February,Cast Of High School Musical,"""Be Mine""",,,Be Mine,
2008,,23 March,Mónica Naranjo,"""Europa""",,,Europa,
2008,,4 May,Mónica Naranjo,"""Europa""",,,Europa,
2008,,11 May,Mónica Naranjo,"""Europa""",,,Europa,
2008,,18 May,The Cure,"""The Only One""",,,The Only One,
2008,,15 June,The Cure,"""The Only One""",,,The Only One,
2008,,22 June,The Cure,"""Freakshow""",,,Freakshow,
2008,,20 July,The Cure,"""Freakshow""",,,Freakshow,
2008,,27 July,Mónica Naranjo,"""Amor y lujo""",,,Amor y lujo,
2008,,24 August,Madonna,"""Give It 2 Me""",,,Give It 2 Me,
2008,,21 September,The Cure,"""Hypnagogic States""",,,Hypnagogic States,
2008,,5 October,Cast Of High School Musical,"""Be Mine""",,,Be Mine,
2008,,26 October,Cooper,"""Lemon Pop""",,,Lemon Pop,
2008,,14 December,Madonna,"""Miles Away""",,,Miles Away,
2008,,28 December,Madonna,"""Miles Away""",,,Miles Away,
2009,,January 4,Carlos Bautefeat.Marta Sanchez,"""Colgando en tus manos""",,,Colgando en tus manos,
2009,,June 28,Carlos Bautefeat.Marta Sanchez,"""Colgando en tus manos""",,,Colgando en tus manos,
2009,,July 5,Carlos Bautefeat.Marta Sanchez,"""Colgando en tus manos""",,,Colgando en tus manos,
2009,,July 12,Carlos Bautefeat.Marta Sanchez,"""Colgando en tus manos""",,,Colgando en tus manos,
2009,,July 19,Carlos Bautefeat.Marta Sanchez,"""Colgando en tus manos""",,,Colgando en tus manos,
2009,,July 26,Carlos Bautefeat.Marta Sanchez,"""Colgando en tus manos""",,,Colgando en tus manos,
2009,,August 2,Pitbull,"""I Know You Want Me (Calle Ocho)""",,,I Know You Want Me,
2009,,September 20,David Bisbal,"""Esclavo de Sus Besos""",,,Esclavo de Sus Besos,
2009,,October 18,Manuel Carrasco&Malú,"""Que Nadie""",,,Que Nadie,
2009,,November 22,Manuel Carrasco&Malú,"""Que Nadie""",,,Que Nadie,
2009,,November 29,Manuel Carrasco&Malú,"""Que Nadie""",,,Que Nadie,
2009,,December 6,Buraka Som Sistema,"""Kalemba (Wegue-Wegue)""",,,Kalemba,
2010,1.0,January 10,Manuel Carrasco(feat.Malú),"""Que Nadie""",,,Que Nadie,
2010,2.0,January 17,Lady Gaga,"""Bad Romance""",,,Bad Romance,
2010,3.0,January 24,Lady Gaga,"""Bad Romance""",,,Bad Romance,
2010,4.0,January 31,Lady Gaga,"""Bad Romance""",,,Bad Romance,
2010,5.0,February 7,Lady Gaga,"""Bad Romance""",,,Bad Romance,
2010,6.0,February 14,David Bisbal,"""Mi Princesa""",,,Mi Princesa,
2010,7.0,February 21,Estopa(feat.Rosario),"""El Run Run""",,,El Run Run,
2010,8.0,February 28,"David DeMaría,Pastora Soler& Vanesa Martín","""Himno de Andalucía""",,,Himno de Andalucía,
2010,9.0,March 7,Estopa(feat. Rosario),"""El Run Run""",,,El Run Run,
2010,10.0,March 14,Estopa(feat. Rosario),"""El Run Run""",,,El Run Run,
2010,11.0,March 21,Estopa(feat. Rosario),"""El Run Run""",,,El Run Run,
2010,12.0,March 28,Estopa(feat. Rosario),"""El Run Run""",,,El Run Run,
2010,13.0,April 4,Estopa(feat. Rosario),"""El Run Run""",,,El Run Run,
2010,14.0,April 11,Estopa(feat. Rosario),"""El Run Run""",,,El Run Run,
2010,15.0,April 18,Estopa(feat. Rosario),"""El Run Run""",,,El Run Run,
