Week,Issue_date,Streaming_Artist,Streaming_Song,Airplay_Artist,Airplay_Song,Streaming_Song_Clean,Airplay_Song_Clean
1,December 29,Dellafuente andMorad,"""Manos Rotas""",Ana Mena,"""Madrid City""",Manos Rotas,Madrid City
2,January 5,Dellafuente andMorad,"""Manos Rotas""",,,Manos Rotas,
3,January 12,BizarrapandYoung Miko,"""Young Miko: Bzrp Music Sessions, Vol. 58""",Ana Mena,"""Madrid City""","Young Miko: Bzrp Music Sessions, Vol. 58",Madrid City
4,January 19,BizarrapandYoung Miko,Ana Mena,Ana Mena,,Ana Mena,
5,January 26,BizarrapandYoung Miko,Ana Mena,,,Ana Mena,
6,February 2,Quevedo,"""La Última""",Ana Mena,,La Última,
7,February 9,Quevedo,"""La Última""",,,La Última,
8,February 16,Quevedo,"""La Última""",Ana Mena,"""Madrid City""",La Última,Madrid City
9,February 23,Quevedo,"""La Última""",Ana Mena,"""Madrid City""",La Última,Madrid City
10,March 1,Gonzy,"""X'Clusivo""",Ana Mena,,XClusivo,
11,March 8,Gonzy,"""X'Clusivo""",,,XClusivo,
12,March 15,Gonzy,"""X'Clusivo""",Ana Mena,,XClusivo,
13,March 22,Gonzy,"""X'Clusivo""",Ana Mena,,XClusivo,
14,March 29,Gonzy,"""X'Clusivo""",Ana Mena,,XClusivo,
15,April 5,Gonzy,"""X'Clusivo""",Ana Mena,,XClusivo,
16,April 12,Gonzy,"""X'Clusivo""",Ana Mena,"""Madrid City""",XClusivo,Madrid City
17,April 19,"Rvssian,Rauw AlejandroandAyra Starr","""Santa""",Ana Mena,"""Madrid City""",Santa,Madrid City
18,April 26,"Rvssian,Rauw AlejandroandAyra Starr","""Santa""",Ana Mena,,Santa,
19,May 3,"Saiko, JC Reyes andDei V","""BadGyal""",Ana Mena,"""Madrid City""",BadGyal,Madrid City
20,May 10,"Saiko, JC Reyes andDei V",Benson Boone,Ana Mena,,Benson Boone,
21,May 17,"Saiko, JC Reyes andDei V",Benson Boone,,,Benson Boone,
22,May 24,"Saiko, JC Reyes andDei V",Myke Towers,Ana Mena,,Myke Towers,
23,May 31,"Saiko, JC Reyes andDei V",Myke Towers,,,Myke Towers,
24,June 7,"Saiko, JC Reyes andDei V",Benson Boone,Ana Mena,,Benson Boone,
25,June 14,Trueno,"""Real Gangsta Love""",Ana Mena,,Real Gangsta Love,
26,June 21,Trueno,"""Real Gangsta Love""",,,Real Gangsta Love,
27,June 28,Karol G,"""Si Antes Te Hubiera Conocido""",Ana Mena,"""Madrid City""",Si Antes Te Hubiera Conocido,Madrid City
28,July 5,Karol G,"""Si Antes Te Hubiera Conocido""",Ana Mena,,Si Antes Te Hubiera Conocido,
29,July 12,Karol G,"""Si Antes Te Hubiera Conocido""",Teddy Swims,"""Lose Control""",Si Antes Te Hubiera Conocido,Lose Control
30,July 19,Karol G,"""Si Antes Te Hubiera Conocido""",Teddy Swims,,Si Antes Te Hubiera Conocido,
31,July 26,Karol G,Benson Boone,Teddy Swims,,Benson Boone,
32,August 2,Karol G,Benson Boone,,,Benson Boone,
33,August 9,Karol G,Benson Boone,Teddy Swims,,Benson Boone,
34,August 16,Karol G,Karol G,Teddy Swims,,Karol G,
35,August 23,Karol G,Karol G,,,Karol G,
36,August 30,Karol G,Karol G,,,Karol G,
37,September 6,Karol G,Karol G,,,Karol G,
38,September 13,Karol G,Karol G,,,Karol G,
39,September 20,Karol G,Karol G,,,Karol G,
40,September 27,Karol G,Karol G,,,Karol G,
41,October 4,Karol G,Karol G,Teddy Swims,,Karol G,
42,October 11,Karol G,Karol G,Teddy Swims,,Karol G,
43,October 18,Karol G,Karol G,,,Karol G,
44,October 25,Myke Towers andBenny Blanco,"""Degenere""",Teddy Swims,,Degenere,
45,November 1,Myke Towers andBenny Blanco,"""Degenere""",Teddy Swims,,Degenere,
46,November 8,Myke Towers andBenny Blanco,"""Degenere""",Karol G,"""Si Antes Te Hubiera Conocido""",Degenere,Si Antes Te Hubiera Conocido
47,November 15,Myke Towers andBenny Blanco,"""Degenere""",Karol G,,Degenere,
48,November 22,Quevedo andAitana,"""Gran Vía""",Shakira,"""Soltera""",Gran Vía,Soltera
49,November 29,Quevedo andAitana,"""Gran Vía""",,,Gran Vía,
50,December 6,Quevedo andAitana,"""Gran Vía""",,,Gran Vía,
51,December 13,Yorghaki / Alleh,"""Capaz (Merengueton)""",Shakira,"""Soltera""",Capaz,Soltera
52,December 20,Yorghaki / Alleh,"""Capaz (Merengueton)""",Shakira,,Capaz,
1,December 27,Yorghaki / Alleh,"""Capaz (Merengueton)""",Shakira,,Capaz,
