Year,Week,Issue_date,Streaming_Artist,Streaming_Song,Airplay_Artist,Airplay_Song,Streaming_Song_Clean,Airplay_Song_Clean,Streaming_Artist_Clean,Airplay_Artist_Clean
2000,,1 January,Rhythm Divine,Enrique Iglesias,,,Enrique Iglesias,,Rhythm Divine,
2001,,1 January,No cambié,Tamara,,,Tamara,,No cambié,
2002,,7 January,Abre Tu Sonrisa,Sugarless,,,Sugarless,,Abre Tu Sonrisa,
2004,,January 4,"""Motivos de un sentimiento""",Joaquín Sabina,,,Joaquín Sabina,,Motivos de un sentimiento,
2005,,January 9,"""Todo nos parece una mierda""",Astrud,,,Astrud,,Todo nos parece una mierda,
2006,,1 January,"""Hung Up""",Madonna,,,Madonna,,Hung Up,
2007,,7 January,"""Al final de la palmera""",Rafa González-Serna,,,Rafa González-Serna,,Al final de la palmera,
2008,,6 January,Dogma Crew,"""Nacen de la bruma""",,,Nacen de la bruma,,Dogma Crew,
2009,,January 4,Carlos Bautefeat.Marta Sanchez,"""Colgando en tus manos""",,,Colgando en tus manos,,Carlos Bautefeat.Marta Sanchez,
2010,1.0,January 10,Manuel Carrasco(feat.Malú),"""Que Nadie""",,,Que Nadie,,Manuel Carrasco(feat.Malú),
2011,1.0,January 9,Shakira(feat.El Cata),"""Loca""",,,Loca,,Shakira(feat.El Cata),
2012,1.0,January 8,Michel Teló,"""Ai Se Eu Te Pego!""",,,Ai Se Eu Te Pego!,,Michel Teló,
2013,1.0,January 6,PSY,"""Gangnam Style""",,,Gangnam Style,,PSY,
2014,1.0,January 5,Avicii,"""Hey Brother""",,,Hey Brother,,Avicii,
2015,1.0,January 4,David GuettafeaturingSam Martin,"""Dangerous""",Melendi,"""Tocado y hundido""",Dangerous,Tocado y hundido,David GuettafeaturingSam Martin,Melendi
2016,1.0,January 7,Justin Bieber,"""Sorry""",Adele,"""Hello""",Sorry,Hello,Justin Bieber,Adele
2017,1.0,January 5,ShakirafeaturingMaluma,"""Chantaje""",DJ SnakefeaturingJustin Bieber,"""Let Me Love You""",Chantaje,Let Me Love You,ShakirafeaturingMaluma,DJ SnakefeaturingJustin Bieber
2018,1.0,January 4,Luis FonsifeaturingDemi Lovato,"""Échame la Culpa""",Camila CabellofeaturingYoung Thug,"""Havana""",Échame la Culpa,Havana,Luis FonsifeaturingDemi Lovato,Camila CabellofeaturingYoung Thug
2019,1.0,January 3,Paulo Londra,"""Adán y Eva""",Maroon 5,"""Girls Like You""",Adán y Eva,Girls Like You,Paulo Londra,Maroon 5
2020,1.0,January 2,Karol GandNicki Minaj,"""Tusa""",Maroon 5,"""Memories""",Tusa,Memories,Karol GandNicki Minaj,Maroon 5
2021,1.0,January 1,Bad BunnyandJhay Cortez,"""Dakiti""",BTS,"""Dynamite""",Dakiti,Dynamite,Bad BunnyandJhay Cortez,BTS
2022,1.0,December 31,Morad,"""Pelele""",Adele,"""Easy on Me""",Pelele,Easy on Me,Morad,Adele
2023,1.0,December 30,Manuel Turizo,"""La Bachata""",Manuel Turizo,"""La Bachata""",La Bachata,La Bachata,Manuel Turizo,Manuel Turizo
2024,1.0,December 29,Dellafuente andMorad,"""Manos Rotas""",Ana Mena,"""Madrid City""",Manos Rotas,Madrid City,Dellafuente andMorad,Ana Mena
2025,1.0,December 27,Yorghaki / Alleh,"""Capaz (Merengueton)""",Dani Fernández,"""Me Has Invitado a Bailar""",Capaz,Me Has Invitado a Bailar,Yorghaki / Alleh,Dani Fernández
